"","sid","bid","date"
"1",7396,7024,11091
"2",22934,1681,11091
"3",37754,9435,11091
"4",5167,8335,11091
"5",18721,5500,11091
"6",22107,2389,11091
"7",30421,1809,11091
"8",16212,8536,11091
"9",39056,2259,11091
"10",17793,750,11091
"11",26476,3876,11091
"12",33476,1506,11091
"13",13891,4888,11091
"14",5970,3571,11091
"15",38506,1324,11091
"16",417,1647,11091
"17",32408,8689,11091
"18",20572,6272,11091
"19",33778,2849,11091
"20",26690,1505,11091
"21",39270,2971,11091
"22",4604,1633,11091
"23",37762,7949,11091
"24",38988,3491,11091
"25",20079,8104,11091
"26",285,147,11091
"27",27337,9298,11091
"28",11017,8119,11091
"29",31436,9890,11091
"30",24559,7102,11091
"31",30802,8870,11091
"32",25005,2604,11091
"33",34363,4375,11091
"34",15526,4616,11091
"35",8748,660,11091
"36",11029,3104,11091
"37",1688,1847,11091
"38",7335,7555,11091
"39",11523,8679,11091
"40",16106,5727,11091
"41",14026,6720,11091
"42",1003,4012,11091
"43",8000,8566,11091
"44",38861,3238,11091
"45",29328,3401,11091
"46",39071,3971,11091
"47",15200,5604,11091
"48",18553,1968,11091
"49",17078,931,11091
"50",4613,4401,11091
"51",8038,4277,11091
"52",39224,8290,11091
"53",11479,5960,11091
"54",35959,4534,11091
"55",5897,1287,11091
"56",987,7364,11091
"57",14935,5744,11091
"58",33014,8137,11091
"59",34908,1106,11091
"60",38109,5691,11091
"61",1475,2453,11091
"62",39156,8858,11091
"63",9640,7573,11091
"64",22514,3052,11091
"65",27747,3360,11091
"66",8245,9193,11091
"67",913,9638,11091
"68",12635,6657,11091
"69",21342,8178,11091
"70",7411,3996,11091
"71",7139,2855,11091
"72",25179,3002,11091
"73",17747,7303,11091
"74",26727,3117,11091
"75",19144,2915,11091
"76",7287,3608,11091
"77",36153,3941,11091
"78",31196,2842,11091
"79",34149,1723,11091
"80",3171,2921,11091
"81",33615,9453,11091
"82",1799,7584,11091
"83",11876,6511,11091
"84",3400,9755,11091
"85",545,5389,11091
"86",38632,1011,11091
"87",10271,8952,11091
"88",15518,7943,11091
"89",13976,1388,11091
"90",26021,5441,11091
"91",37810,5718,11091
"92",38146,7803,11091
"93",4732,8372,11091
"94",3487,7486,11091
"95",2608,777,11091
"96",4204,4067,11091
"97",38999,1649,11091
"98",20123,2016,11091
"99",7989,1782,11091
"100",10955,1307,11091
"101",34348,6452,11091
"102",24112,9720,11091
"103",15067,8192,11091
"104",9070,2066,11091
"105",7772,2406,11091
"106",39189,5243,11091
"107",33055,6709,11091
"108",39109,577,11091
"109",13470,127,11091
"110",14515,2097,11091
"111",6085,9359,11091
"112",16044,4859,11091
"113",27260,8541,11091
"114",36517,4759,11091
"115",28548,8298,11091
"116",27032,3398,11091
"117",35634,5289,11091
"118",34974,2587,11091
"119",21698,2161,11091
"120",8669,4741,11091
"121",35710,3018,11091
"122",22209,7553,11091
"123",38258,9544,11091
"124",13335,5167,11091
"125",5928,3569,11091
"126",28183,805,11091
"127",10063,515,11091
"128",29542,138,11091
"129",1695,2819,11091
"130",1629,6323,11091
